time,node_id,x,P(Pa),P(MPa),v,T(C),visc(cSt),rho
15.500000,41,41836.734694,2489597.276955,2.489597,0.747953,39.993790,31.434913,833.963380
15.500000,42,42857.142857,2428389.454904,2.428389,0.747964,39.997456,31.434913,833.923956
15.500000,43,43877.551020,2367183.840289,2.367184,0.747974,39.993883,31.434913,833.889554
15.500000,44,44897.959184,2305980.451610,2.305980,0.747982,39.997363,31.434913,833.850266
15.500000,45,45918.367347,2244779.416154,2.244779,0.747988,39.993974,31.434913,833.815743
15.500000,46,46938.775510,2183580.757244,2.183581,0.747994,39.997273,31.434913,833.776587
15.500000,47,47959.183673,2122384.601523,2.122385,0.747997,39.994062,31.434913,833.741945
15.500000,48,48979.591837,2061190.973461,2.061191,0.748000,39.997184,31.434913,833.702918
15.500000,49,50000.000000,2000000.000000,2.000000,0.748000,39.994149,31.434913,833.668162
20.500000,0,0.000000,5000000.000000,5.000000,0.832774,40.000000,31.434913,835.473157
20.500000,1,1020.408163,4938735.500691,4.938736,0.832775,39.988707,31.434913,835.444016
20.500000,2,2040.816327,4877473.528313,4.877474,0.832776,39.999696,31.434913,835.399406
20.500000,3,3061.224490,4816214.215508,4.816214,0.832779,39.989005,31.434913,835.369853
20.500000,4,4081.632653,4754957.276047,4.754957,0.832783,39.999402,31.434913,835.325660
20.500000,5,5102.040816,4693702.831180,4.693703,0.832789,39.989293,31.434913,835.295709
20.500000,6,6122.448980,4632450.610536,4.632451,0.832795,39.999118,31.434913,835.251920
20.500000,7,7142.857143,4571200.726071,4.571201,0.832803,39.989572,31.434913,835.221584
20.500000,8,8163.265306,4509952.907394,4.509953,0.832811,39.998843,31.434913,835.178185
20.500000,9,9183.673469,4448707.273318,4.448707,0.832821,39.989841,31.434913,835.147477
20.500000,10,10204.081633,4387463.561695,4.387464,0.832832,39.998578,31.434913,835.104456
20.500000,11,11224.489796,4326221.868954,4.326222,0.832845,39.990100,31.434913,835.073388
20.500000,12,12244.897959,4264981.952003,4.264982,0.832858,39.998322,31.434913,835.030731
20.500000,13,13265.306122,4203743.922148,4.203744,0.832873,39.990351,31.434913,834.999316
20.500000,14,14285.714286,4142507.520340,4.142508,0.832889,39.998075,31.434913,834.957011
20.500000,15,15306.122449,4081272.833707,4.081273,0.832906,39.990593,31.434913,834.925261
20.500000,16,16326.530612,4020039.652802,4.020040,0.832924,39.997836,31.434913,834.883295
20.500000,17,17346.938776,3958808.085058,3.958808,0.832943,39.990826,31.434913,834.851223
20.500000,18,18367.346939,3897577.866003,3.897578,0.832964,39.997606,31.434913,834.809583
20.500000,19,19387.755102,3836349.047738,3.836349,0.832985,39.991051,31.434913,834.777200
20.500000,20,20408.163265,3775121.426612,3.775121,0.833008,39.997384,31.434913,834.735876
20.500000,21,21428.571429,3713895.092631,3.713895,0.833032,39.991268,31.434913,834.703193
20.500000,22,22448.979592,3652669.699681,3.652670,0.833057,39.997170,31.434913,834.662172
20.500000,23,23469.387755,3591445.026314,3.591445,0.833083,39.991477,31.434913,834.629200
20.500000,24,24489.795918,3530220.519283,3.530221,0.833109,39.996964,31.434913,834.588471
20.500000,25,25510.204082,3468996.050289,3.468996,0.833135,39.991678,31.434913,834.555219
20.500000,26,26530.612245,3407771.484902,3.407771,0.833162,39.996766,31.434913,834.514772
20.500000,27,27551.020408,3346547.228983,3.346547,0.833187,39.991871,31.434913,834.481251
20.500000,28,28571.428571,3285323.562862,3.285324,0.833212,39.996575,31.434913,834.441074
20.500000,29,29591.836735,3224100.980595,3.224101,0.833236,39.992058,31.434913,834.407295
20.500000,30,30612.244898,3162879.551898,3.162880,0.833259,39.996391,31.434913,834.367380
20.500000,31,31632.653061,3101659.460497,3.101659,0.833281,39.992237,31.434913,834.333354
20.500000,32,32653.061224,3040440.635157,3.040441,0.833301,39.996215,31.434913,834.293691
20.500000,33,33673.469388,2979223.299132,2.979223,0.833321,39.992409,31.434913,834.259428
20.500000,34,34693.877551,2918007.440043,2.918007,0.833339,39.996045,31.434913,834.220007
20.500000,35,35714.285714,2856793.226321,2.856793,0.833356,39.992574,31.434913,834.185516
20.500000,36,36734.693878,2795580.589971,2.795581,0.833371,39.995882,31.434913,834.146329
20.500000,37,37755.102041,2734369.721594,2.734370,0.833386,39.992733,31.434913,834.111620
20.500000,38,38775.510204,2673160.600796,2.673161,0.833400,39.995725,31.434913,834.072656
20.500000,39,39795.918367,2611953.395354,2.611953,0.833412,39.992885,31.434913,834.037739
20.500000,40,40816.326531,2550748.067358,2.550748,0.833423,39.995575,31.434913,833.998991
20.500000,41,41836.734694,2489544.801455,2.489545,0.833433,39.993031,31.434913,833.963874
20.500000,42,42857.142857,2428343.576419,2.428344,0.833442,39.995431,31.434913,833.925332
20.500000,43,43877.551020,2367144.556722,2.367145,0.833449,39.993171,31.434913,833.890024
20.500000,44,44897.959184,2305947.727048,2.305948,0.833456,39.995293,31.434913,833.851681
20.500000,45,45918.367347,2244753.261109,2.244753,0.833461,39.993305,31.434913,833.816190
20.500000,46,46938.775510,2183561.140813,2.183561,0.833465,39.995161,31.434913,833.778038
20.500000,47,47959.183673,2122371.533372,2.122372,0.833468,39.993434,31.434913,833.742373
20.500000,48,48979.591837,2061184.433486,2.061184,0.833470,39.995035,31.434913,833.704404
20.500000,49,50000.000000,2000000.000000,2.000000,0.833470,39.993556,31.434913,833.668572
25.500000,0,0.000000,5000000.000000,5.000000,0.879858,40.000000,31.434913,835.473157
25.500000,1,1020.408163,4938730.274086,4.938730,0.879858,39.986077,31.434913,835.445840
25.500000,2,2040.816327,4877462.992114,4.877463,0.879860,39.999487,31.434913,835.399545
25.500000,3,3061.224490,4816198.454595,4.816198,0.879862,39.986577,31.434913,835.371530
25.500000,4,4081.632653,4754936.211842,4.754936,0.879866,39.998996,31.434913,835.325929
25.500000,5,5102.040816,4693676.542672,4.693677,0.879870,39.987054,31.434913,835.297248
25.500000,6,6122.448980,4632419.026228,4.632419,0.879875,39.998529,31.434913,835.252310
25.500000,7,7142.857143,4571163.930257,4.571164,0.879882,39.987509,31.434913,835.222993
25.500000,8,8163.265306,4509910.830628,4.509911,0.879889,39.998084,31.434913,835.178687
25.500000,9,9183.673469,4448659.974904,4.448660,0.879897,39.987943,31.434913,835.148766
25.500000,10,10204.081633,4387410.988930,4.387411,0.879906,39.997659,31.434913,835.105062
25.500000,11,11224.489796,4326164.114511,4.326164,0.879916,39.988356,31.434913,835.074564
25.500000,12,12244.897959,4264918.949446,4.264919,0.879927,39.997256,31.434913,835.031433
25.500000,13,13265.306122,4203675.696364,4.203676,0.879939,39.988748,31.434913,835.000387
25.500000,14,14285.714286,4142434.019621,4.142434,0.879952,39.996871,31.434913,834.957801
25.500000,15,15306.122449,4081194.174296,4.081194,0.879966,39.989122,31.434913,834.926235
25.500000,16,16326.530612,4019955.822283,4.019956,0.879981,39.996506,31.434913,834.884167
25.500000,17,17346.938776,3958719.099068,3.958719,0.879996,39.989476,31.434913,834.852106
25.500000,18,18367.346939,3897483.597014,3.897484,0.880013,39.996160,31.434913,834.810530
25.500000,19,19387.755102,3836249.485270,3.836249,0.880031,39.989813,31.434913,834.777999
25.500000,20,20408.163265,3775016.542516,3.775017,0.880049,39.995831,31.434913,834.736891
25.500000,21,21428.571429,3713785.128763,3.713785,0.880069,39.990132,31.434913,834.703915
25.500000,22,22448.979592,3652555.171095,3.652555,0.880089,39.995519,31.434913,834.663249
25.500000,23,23469.387755,3591327.043337,3.591327,0.880109,39.990434,31.434913,834.629852
25.500000,24,24489.795918,3530100.629817,3.530101,0.880129,39.995224,31.434913,834.589607
25.500000,25,25510.204082,3468876.196720,3.468876,0.880150,39.990720,31.434913,834.555811
25.500000,26,26530.612245,3407653.534978,3.407654,0.880170,39.994944,31.434913,834.515964
25.500000,27,27551.020408,3346432.794779,3.346433,0.880190,39.990990,31.434913,834.481793
25.500000,28,28571.428571,3285213.674427,3.285214,0.880210,39.994680,31.434913,834.442322
25.500000,29,29591.836735,3223996.217689,3.223996,0.880230,39.991246,31.434913,834.407795
25.500000,30,30612.244898,3162780.078747,3.162780,0.880248,39.994431,31.434913,834.368680
25.500000,31,31632.653061,3101565.318890,3.101565,0.880266,39.991487,31.434913,834.333818
25.500000,32,32653.061224,3040351.739607,3.040352,0.880283,39.994196,31.434913,834.295038
25.500000,33,33673.469388,2979139.595761,2.979140,0.880298,39.991714,31.434913,834.259860
